Run,Precision,Recall,F1-Score,ROC-AUC
1,0.420076726342711,0.42063492063492064,0.4124081887794968,0.3866666666666666
2,0.4634920634920635,0.4621461487820935,0.44862155388471175,0.5437788018433181
3,0.4641734758013828,0.4642857142857143,0.46241600250039067,0.41102756892230574
4,0.435525467440361,0.4375,0.43316013226263583,0.47000000000000003
5,0.5095238095238095,0.5093984962406015,0.5087387812942843,0.4887218045112782
6,0.5764411027568923,0.5764411027568923,0.575,0.56265664160401
7,0.47122762148337594,0.4714285714285714,0.46241600250039067,0.4012698412698413
8,0.5219987429289755,0.5233333333333333,0.5087387812942843,0.5126666666666666
9,0.475,0.475,0.475,0.468125
10,0.46228786926461346,0.4625,0.4617430762009075,0.4375
